iter	Passed	Remaining
0	57	57784
1	58	29378
2	59	19895
3	60	15072
4	61	12178
5	61	10244
6	62	8863
7	63	7829
8	63	7031
9	64	6377
10	64	5842
11	65	5383
12	65	5002
13	66	4676
14	66	4394
15	67	4145
16	67	3928
17	68	3733
18	68	3556
19	69	3396
20	69	3250
21	70	3118
22	70	2998
23	71	2887
24	71	2784
25	71	2691
26	72	2603
27	72	2522
28	73	2446
29	73	2376
30	73	2309
31	74	2247
32	74	2189
33	75	2135
34	75	2083
35	75	2034
36	76	1989
37	76	1948
38	77	1908
39	77	1869
40	78	1832
41	78	1796
42	79	1761
43	79	1729
44	80	1698
45	80	1667
46	80	1639
47	81	1611
48	81	1585
49	82	1560
50	82	1535
51	82	1513
52	83	1488
53	83	1466
54	84	1445
55	84	1425
56	84	1405
57	85	1387
58	85	1369
59	86	1351
60	86	1334
61	87	1317
62	87	1301
63	87	1285
64	88	1270
65	88	1256
66	89	1241
67	89	1227
68	90	1214
69	90	1201
70	90	1188
71	91	1176
72	91	1164
73	92	1152
74	92	1140
75	92	1129
76	93	1118
77	93	1108
78	94	1097
79	94	1088
80	95	1078
81	95	1068
82	95	1059
83	96	1050
84	96	1042
85	97	1033
86	97	1025
87	98	1016
88	98	1008
89	98	1000
90	99	993
91	99	985
92	100	978
93	100	970
94	101	963
95	101	956
96	101	949
97	102	942
98	102	935
99	103	928
100	103	922
101	104	916
102	104	909
103	104	903
104	105	897
105	105	891
106	106	885
107	106	880
108	106	874
109	107	868
110	107	863
111	108	857
112	108	852
113	109	847
114	109	842
115	109	837
116	110	832
117	110	827
118	111	822
119	111	818
120	111	812
121	112	807
122	112	803
123	113	798
124	113	794
125	113	790
126	114	786
127	114	783
128	115	780
129	116	777
130	116	774
131	117	769
132	117	766
133	118	763
134	118	760
135	119	756
136	119	752
137	119	749
138	120	746
139	120	743
140	121	739
141	121	735
142	122	732
143	122	729
144	123	726
145	123	723
146	124	720
147	124	717
148	125	714
149	125	712
150	126	710
151	126	708
152	127	705
153	128	704
154	128	701
155	129	699
156	129	697
157	130	694
158	130	691
159	131	689
160	131	686
161	132	683
162	132	681
163	133	678
164	133	675
165	134	673
166	134	671
167	135	669
168	135	666
169	136	664
170	136	662
171	137	660
172	137	658
173	138	655
174	138	654
175	139	651
176	139	649
177	140	648
178	140	645
179	141	643
180	141	641
181	142	639
182	142	637
183	143	635
184	143	633
185	144	631
186	144	629
187	145	627
188	145	625
189	146	623
190	146	621
191	147	619
192	147	617
193	148	615
194	148	613
195	148	610
196	149	608
197	149	606
198	150	604
199	150	602
200	150	600
201	151	598
202	151	596
203	152	594
204	152	592
205	153	590
206	153	588
207	153	586
208	154	584
209	154	582
210	155	580
211	155	578
212	156	576
213	156	574
214	156	572
215	157	570
216	157	568
217	158	567
218	158	565
219	158	563
220	159	561
221	159	560
222	160	558
223	160	556
224	161	554
225	161	553
226	162	551
227	162	550
228	163	548
229	163	547
230	163	545
231	164	543
232	164	542
233	165	540
234	165	539
235	166	537
236	166	535
237	166	534
238	167	532
239	167	530
240	168	529
241	168	528
242	169	526
243	169	525
244	169	523
245	170	522
246	170	520
247	172	523
248	173	522
249	173	520
250	173	519
251	174	517
252	174	516
253	175	514
254	175	513
255	176	512
256	176	510
257	177	509
258	177	507
259	177	506
260	178	505
261	178	503
262	179	502
263	179	500
264	180	499
265	180	498
266	181	496
267	181	495
268	181	494
269	182	492
270	182	491
271	183	490
272	183	488
273	183	487
274	184	486
275	184	484
276	185	483
277	185	482
278	186	480
279	186	479
280	186	478
281	187	476
282	187	475
283	188	474
284	188	473
285	188	471
286	189	470
287	189	469
288	190	468
289	190	466
290	191	465
291	191	464
292	191	463
293	192	461
294	192	460
295	193	459
296	193	458
297	194	457
298	194	455
299	194	454
300	195	453
301	195	452
302	196	451
303	196	450
304	197	449
305	197	447
